test,PKG,CPU,time
bubblesort,0.012756348,0.009094238,2.827
bubblesort,0.013366699,0.008911133,2.874
bubblesort,0.013244629,0.009155273,2.816
bubblesort,0.012695313,0.009338379,2.89
bubblesort,0.013000488,0.009521484,2.861
bubblesort,0.012878418,0.008911133,2.855
bubblesort,0.010253906,0.010925293,2.411
bubblesort,0.011413574,0.010498047,2.4
bubblesort,0.01159668,0.010620117,2.092
bubblesort,0.020080566,0.011474609,2.036
bubblesort,0.014831543,0.012756348,2.074
bubblesort,0.01373291,0.011535645,2.049
bubblesort,0.013671875,0.013916016,2.178
bubblesort,0.01361084,0.01159668,2.054
bubblesort,0.013977051,0.012084961,2.007
bubblesort,0.01348877,0.012634277,2.086
bubblesort,0.013305664,0.012329102,2.054
bubblesort,0.014587402,0.012878418,2.135
bubblesort,0.014038086,0.013000488,2.13
bubblesort_func,0.021057129,0.018676758,4.129
bubblesort_func,0.018005371,0.017089844,3.446
bubblesort_func,0.024108887,0.016662598,3.412
bubblesort_func,0.017333984,0.018554688,3.501
bubblesort_func,0.024291992,0.017150879,3.349
bubblesort_func,0.016906738,0.01751709,3.41
bubblesort_func,0.018127441,0.016967773,3.393
bubblesort_func,0.023132324,0.017028809,3.382
bubblesort_func,0.016906738,0.017333984,3.36
bubblesort_func,0.024291992,0.017333984,3.45
bubblesort_func,0.017822266,0.018066406,3.32
bubblesort_func,0.018432617,0.017456055,3.445
bubblesort_func,0.0234375,0.017944336,3.39
bubblesort_func,0.017700195,0.017211914,3.458
bubblesort_func,0.024291992,0.01751709,3.427
bubblesort_func,0.016845703,0.017883301,3.376
bubblesort_func,0.018615723,0.017578125,3.354
bubblesort_func,0.024414063,0.017272949,3.39
bubblesort_func,0.018432617,0.017700195,3.461
bubblesort_func,0.024230957,0.018554688,3.522
bubblesort_func,0.018554688,0.017150879,3.498
bubblesort_func,0.024841309,0.018066406,3.516
bubblesort_func,0.01751709,0.016906738,3.374
bubblesort_func,0.018615723,0.018127441,3.398
bubblesort_func,0.017944336,0.016784668,3.429
bubblesort_func,0.024536133,0.017944336,3.552
bubblesort_func,0.017456055,0.018005371,3.508
bubblesort_func,0.024597168,0.017456055,3.536
bubblesort_func,0.017456055,0.018066406,3.433
bubblesort_func,0.018920898,0.01763916,3.493
bubblesort_ll2,0.022705078,0.01763916,3.867
bubblesort_ll2,0.017578125,0.016540527,3.531
bubblesort_ll2,0.023620605,0.01751709,3.696
bubblesort_ll2,0.017333984,0.016296387,3.603
bubblesort_ll2,0.023071289,0.018188477,3.566
bubblesort_ll2,0.023376465,0.01739502,3.606
bubblesort_ll2,0.016845703,0.017333984,3.535
bubblesort_ll2,0.0234375,0.016479492,3.479
bubblesort_ll2,0.017883301,0.018859863,3.632
bubblesort_ll2,0.023681641,0.01763916,3.61
bubblesort_ll2,0.017272949,0.01751709,3.653
bubblesort_ll2,0.017150879,0.016418457,3.514
bubblesort_ll2,0.024658203,0.017822266,3.613
bubblesort_ll2,0.017089844,0.018432617,3.621
bubblesort_ll2,0.023254395,0.017333984,3.485
