Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, chameleon, -1,352.116821289062500000, 318.032287597656250000,  ,  , 17702, 63.2, 45996
Python, chameleon, -1,350.656860351562500000, 316.721557617187500000,  ,  , 17720, 63.2, 46104
Python, chameleon, -1,351.621948242187500000, 317.803527832031250000,  ,  , 17701, 67.0, 46180
Python, chameleon, -1,347.585327148437500000, 313.424743652343750000,  ,  , 17834, 64.0, 46124
Python, chameleon, -1,349.218750000000000000, 315.152038574218750000,  ,  , 17790, 64.0, 46192
Python, chameleon, -1,348.349853515625000000, 314.222839355468750000,  ,  , 17830, 67.2, 46060
Python, chameleon, -1,349.440979003906250000, 315.604980468750000000,  ,  , 17674, 64.5, 45980
Python, chameleon, -1,352.775756835937500000, 318.759948730468750000,  ,  , 17763, 64.5, 45980
Python, chameleon, -1,351.593383789062500000, 317.694152832031250000,  ,  , 17699, 64.8, 46056
Python, chameleon, -1,352.764282226562500000, 318.946228027343750000,  ,  , 17651, 64.8, 46116
Python, crypto_pyaes, -1,264.458129882812500000, 239.102355957031250000,  ,  , 13280, 66.0, 46100
Python, crypto_pyaes, -1,264.270996093750000000, 238.519470214843750000,  ,  , 13410, 66.5, 45964
Python, crypto_pyaes, -1,265.588012695312500000, 240.179504394531250000,  ,  , 13319, 62.5, 46204
Python, crypto_pyaes, -1,263.282836914062500000, 237.783874511718750000,  ,  , 13285, 62.8, 46116
Python, crypto_pyaes, -1,265.851440429687500000, 240.462158203125000000,  ,  , 13325, 66.2, 46052
Python, crypto_pyaes, -1,263.523742675781250000, 237.953552246093750000,  ,  , 13330, 62.8, 46228
Python, crypto_pyaes, -1,262.683044433593750000, 237.031250000000000000,  ,  , 13352, 62.2, 46200
Python, crypto_pyaes, -1,263.477600097656250000, 237.887329101562500000,  ,  , 13320, 63.0, 46088
Python, crypto_pyaes, -1,263.726623535156250000, 238.195251464843750000,  ,  , 13337, 66.2, 46088
Python, crypto_pyaes, -1,265.169189453125000000, 239.510498046875000000,  ,  , 13356, 62.8, 46096
Python, deepcopy, -1,747.429626464843750000, 676.326477050781250000,  ,  , 37127, 63.0, 45992
Python, deepcopy, -1,748.429016113281250000, 677.515319824218750000,  ,  , 37277, 66.0, 46016
Python, deepcopy, -1,743.865600585937500000, 672.588867187500000000,  ,  , 37371, 62.8, 46060
Python, deepcopy, -1,753.627380371093750000, 682.875122070312500000,  ,  , 37261, 66.8, 46088
Python, deepcopy, -1,750.169555664062500000, 679.310180664062500000,  ,  , 37187, 62.5, 45988
Python, deepcopy, -1,742.389587402343750000, 670.854309082031250000,  ,  , 37412, 63.0, 46068
Python, deepcopy, -1,739.805236816406250000, 667.878479003906250000,  ,  , 37700, 66.8, 46100
Python, deepcopy, -1,741.942504882812500000, 670.089721679687500000,  ,  , 37673, 62.5, 45980
Python, deepcopy, -1,744.975646972656250000, 673.740417480468750000,  ,  , 37201, 64.8, 46092
Python, deepcopy, -1,744.964172363281250000, 673.516906738281250000,  ,  , 37284, 62.5, 46088
Python, float, -1,249.076232910156250000, 223.198242187500000000,  ,  , 13021, 65.5, 46000
Python, float, -1,250.297729492187500000, 224.288635253906250000,  ,  , 13019, 62.0, 46220
Python, float, -1,251.532165527343750000, 225.361328125000000000,  ,  , 13093, 66.2, 46108
Python, float, -1,249.904846191406250000, 224.118957519531250000,  ,  , 13004, 61.0, 46112
Python, float, -1,250.829956054687500000, 224.885314941406250000,  ,  , 13054, 61.8, 45912
Python, float, -1,250.136779785156250000, 224.109863281250000000,  ,  , 13015, 62.5, 46116
Python, float, -1,250.008728027343750000, 224.093200683593750000,  ,  , 13021, 62.0, 45964
Python, float, -1,250.700439453125000000, 224.920349121093750000,  ,  , 13013, 61.5, 46256
Python, float, -1,251.694946289062500000, 225.652954101562500000,  ,  , 13089, 63.0, 46108
Python, float, -1,250.744567871093750000, 224.836914062500000000,  ,  , 13028, 66.0, 45980
Python, go, -1,464.702819824218750000, 420.615051269531250000,  ,  , 23167, 59.0, 45980
Python, go, -1,459.568054199218750000, 415.074157714843750000,  ,  , 23287, 63.5, 45872
