Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, chameleon, -1,329.273193359375000000, 263.286010742187500000,  ,  , 14628, 63.0, 47528
Python, chameleon, -1,329.641845703125000000, 264.035461425781250000,  ,  , 14520, 62.2, 47648
Python, chameleon, -1,327.648010253906250000, 261.345336914062500000,  ,  , 14669, 65.8, 47528
Python, chameleon, -1,324.894348144531250000, 257.959045410156250000,  ,  , 14787, 65.8, 47520
Python, chameleon, -1,326.639343261718750000, 260.432556152343750000,  ,  , 14647, 65.5, 47652
Python, chameleon, -1,326.743957519531250000, 260.391784667968750000,  ,  , 14637, 62.2, 47632
Python, chameleon, -1,328.348754882812500000, 262.050415039062500000,  ,  , 14668, 62.2, 47404
Python, chameleon, -1,329.002380371093750000, 262.868408203125000000,  ,  , 14624, 62.0, 47644
Python, chameleon, -1,327.860717773437500000, 261.998535156250000000,  ,  , 14556, 62.0, 47520
Python, chameleon, -1,328.174987792968750000, 262.305847167968750000,  ,  , 14609, 65.8, 47652
Python, crypto_pyaes, -1,371.919067382812500000, 297.286743164062500000,  ,  , 16571, 61.2, 47648
Python, crypto_pyaes, -1,371.463439941406250000, 295.815734863281250000,  ,  , 16741, 65.2, 47620
Python, crypto_pyaes, -1,371.515747070312500000, 297.350891113281250000,  ,  , 16484, 61.5, 47640
Python, crypto_pyaes, -1,371.390197753906250000, 296.073242187500000000,  ,  , 16690, 62.2, 47776
Python, crypto_pyaes, -1,371.254577636718750000, 296.558959960937500000,  ,  , 16591, 61.5, 47648
Python, crypto_pyaes, -1,370.620117187500000000, 295.318054199218750000,  ,  , 16683, 61.8, 47772
Python, crypto_pyaes, -1,371.631835937500000000, 296.858642578125000000,  ,  , 16576, 60.8, 47648
Python, crypto_pyaes, -1,373.027465820312500000, 298.211181640625000000,  ,  , 16567, 65.2, 47516
Python, crypto_pyaes, -1,372.340148925781250000, 297.657348632812500000,  ,  , 16569, 65.5, 47648
Python, crypto_pyaes, -1,371.629943847656250000, 297.095031738281250000,  ,  , 16569, 62.0, 47400
Python, deepcopy, -1,1018.367187500000000000, 814.012634277343750000,  ,  , 45370, 64.8, 47644
Python, deepcopy, -1,1022.952575683593750000, 820.868835449218750000,  ,  , 44829, 61.2, 47772
Python, deepcopy, -1,1017.398315429687500000, 814.060546875000000000,  ,  , 45116, 61.2, 47644
Python, deepcopy, -1,1220.784423828125000000, 979.035888671875000000,  ,  , 53616, 63.2, 47652
Python, deepcopy, -1,1014.741882324218750000, 809.554077148437500000,  ,  , 45558, 62.5, 47520
Python, deepcopy, -1,1009.607360839843750000, 804.232666015625000000,  ,  , 45606, 63.0, 47640
Python, deepcopy, -1,1013.556762695312500000, 808.273498535156250000,  ,  , 45541, 65.2, 47772
Python, deepcopy, -1,1018.849426269531250000, 814.999633789062500000,  ,  , 45327, 62.0, 47388
Python, deepcopy, -1,1012.116455078125000000, 807.121215820312500000,  ,  , 45513, 65.5, 47772
Python, deepcopy, -1,1015.989868164062500000, 812.585815429687500000,  ,  , 45120, 65.0, 47648
Python, float, -1,385.137878417968750000, 305.330627441406250000,  ,  , 17275, 65.0, 47776
Python, float, -1,385.028259277343750000, 304.683166503906250000,  ,  , 17345, 61.2, 47648
